,false_positive_rate,true_positive_rate,thresholds
0,0.0,0.0,inf
1,0.00022011886418666079,0.0,0.10375621470818086
2,0.0008804754567466431,0.0,0.1037450420935692
3,0.001100594320933304,0.0,0.10374063615267326
4,0.0017609509134932863,0.0,0.1037369047613956
5,0.001981069777679947,0.0,0.1037026437564125
6,0.0026414263702399295,0.0,0.1036980557440521
7,0.0030816640986132513,0.0,0.10368818965400699
8,0.0035219018269865726,0.0,0.10368703725789209
9,0.005062733876293198,0.0,0.10367542176637629
10,0.00550297160466652,0.0,0.10367530948184452
11,0.00572309046885318,0.0,0.10367158016847373
12,0.006383447061413163,0.0,0.10366994065610836
13,0.007263922518159807,0.0,0.10366391815258069
14,0.007924279110719789,0.0,0.10366007693163748
15,0.00814439797490645,0.0,0.10365985393854336
16,0.009024873431653093,0.0,0.10365448582061514
17,0.010125467752586397,0.0,0.10364014680962741
18,0.010565705480959718,0.0,0.10363760679284753
19,0.01078582434514638,0.0,0.10363733824339488
20,0.01144618093770636,0.0,0.10363574480840564
21,0.011886418666079684,0.0,0.10363339185491413
22,0.012326656394453005,0.0,0.10363278782589737
23,0.012546775258639665,0.0,0.10362955163433332
24,0.013207131851199648,0.0,0.10362394481380427
25,0.01342725071538631,0.0,0.10362353120587214
26,0.014307726172132952,0.0,0.1036222309369015
27,0.014527845036319613,0.0,0.10362029448140286
28,0.015188201628879594,0.0,0.10361969130844631
29,0.01606867708562624,0.0,0.10361794183814664
30,0.016508914813999558,0.0,0.1036167729679572
31,0.01672903367818622,0.0,0.10361640909909015
32,0.017389390270746204,0.0,0.10361568734631196
33,0.01848998459167951,0.0,0.10361410212390014
34,0.01915034118423949,0.0,0.10361050964360122
35,0.020030816640986132,0.0,0.10360836751508727
36,0.020691173233546113,0.0,0.10360653973500647
37,0.020911292097732775,0.0,0.10360582818713235
38,0.021351529826106098,0.0,0.10360468838821553
39,0.02157164869029276,0.0,0.10360023966393045
40,0.02201188641866608,0.0,0.1035984120106636
41,0.023112480739599383,0.0,0.10359584749674147
42,0.023772837332159368,0.0,0.10359394733206792
43,0.02443319392471935,0.0,0.10358424224813449
44,0.025753907109839314,0.0,0.10357338967200111
45,0.026194144838212634,0.0,0.10356218056701412
46,0.026634382566585957,0.0,0.10356167326512176
47,0.027074620294959276,0.0,0.10356035350759485
48,0.02773497688751926,0.0,0.1035593217990618
49,0.028615452344265904,0.0,0.10355411947182921
50,0.029495927801012546,0.0,0.1035515813198432
51,0.029716046665199208,0.0,0.10355043026659545
52,0.03059652212194585,0.0,0.10354311451288187
53,0.03279771076381246,0.0,0.10352701120045661
54,0.03323794849218578,0.0,0.10352603890105594
55,0.034558661677305744,0.0,0.10351347146396898
56,0.03499889940567907,0.0,0.10351063622982005
57,0.035219018269865725,0.0,0.10350729172052157
58,0.03609949372661237,0.0,0.10350284293902155
59,0.03697996918335902,0.0,0.1035019305908714
60,0.037640325775919,0.0,0.10349929844864522
61,0.03830068236847898,0.0,0.10349892755588429
62,0.039181157825225625,0.0,0.10349722151990122
63,0.039841514417785606,0.0,0.10349695329497792
64,0.04116222760290557,0.0,0.10349553015916876
65,0.041382346467092226,0.0,0.10349520240084886
66,0.04182258419546555,0.0,0.10349468460150069
67,0.04226282192383887,0.0,0.10349081687419147
68,0.042703059652212196,0.0,0.10349022133434192
69,0.042923178516398854,0.0,0.10348944908543183
70,0.04336341624477218,0.0,0.10348910138127215
71,0.0438036539731455,0.0,0.10348741134898737
72,0.04424389170151882,0.0,0.10348741013792156
73,0.04468412942989214,0.0,0.10348657580310452
74,0.04512436715826546,0.0,0.10348569946956032
75,0.04578472375082544,0.0,0.10347973848280398
76,0.04666519920757209,0.0,0.10347590329869272
77,0.04732555580013207,0.0,0.10346778376455827
78,0.04864626898525204,0.0,0.10346605590489823
79,0.0488663878494387,0.0,0.10346543418429385
80,0.04974686330618534,0.0,0.10346159946914998
81,0.050407219898745324,0.0,0.10346047405086618
82,0.05084745762711865,0.0,0.10346045518507145
83,0.051067576491305305,0.0,0.10346031852497835
84,0.05238828967642527,0.0,0.10345607096088724
85,0.05282852740479859,0.0,0.10345048958337219
86,0.05348888399735857,0.0,0.10345033445370949
87,0.05480959718247854,0.0,0.1034447856533358
88,0.05524983491085186,0.0,0.10344473020136465
89,0.055910191503411845,0.0,0.10344302495566816
90,0.0561303103675985,0.0,0.10344293775787691
91,0.05723090468853181,0.0,0.10344133437842756
92,0.05811138014527845,0.0,0.10344048921244989
93,0.06075280651551838,0.0,0.10343490857857511
94,0.061633281972265024,0.0,0.10343311874935146
95,0.061633281972265024,0.09090909090909091,0.10343302666935818
96,0.06295399515738499,0.09090909090909091,0.10343203044080497
97,0.06317411402157165,0.09090909090909091,0.10343054582097667
98,0.0640545894783183,0.09090909090909091,0.10343034002251954
99,0.06427470834250495,0.09090909090909091,0.10342967573754576
100,0.06493506493506493,0.09090909090909091,0.1034294949360081
101,0.06537530266343826,0.09090909090909091,0.1034280731204236
102,0.06581554039181158,0.09090909090909091,0.10342780455438079
103,0.06669601584855822,0.09090909090909091,0.10342391482685372
104,0.06757649130530487,0.09090909090909091,0.10342227877926172
105,0.06823684789786484,0.09090909090909091,0.10341868247785019
106,0.06867708562623817,0.09090909090909091,0.1034176951451997
107,0.06999779881135813,0.09090909090909091,0.10340361235660811
108,0.07043803653973145,0.09090909090909091,0.10340193282009132
109,0.07087827426810478,0.09090909090909091,0.1034010169617937
110,0.0713185119964781,0.09090909090909091,0.10339985424104771
111,0.07153863086066475,0.09090909090909091,0.1033985667146787
